hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,model,dataset
32,8,3,relu,Dense,512,32,0.05,4,0.0,0.9634146341463414,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,5,0.0,0.9634146341463414,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,1,0.0,1.0,0.061407810961922056,0.09798351466278275,0.9565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,32,16,0.05,2,0.0,0.8695652173913043,0.061407810961922056,0.09798351466278275,0.9565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,32,16,0.05,3,0.5,0.9565217391304348,0.061407810961922056,0.09798351466278275,0.9565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,32,16,0.05,4,0.6666666666666666,0.9130434782608696,0.061407810961922056,0.09798351466278275,0.9565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,32,16,0.05,5,0.6666666666666666,0.9565217391304348,0.061407810961922056,0.09798351466278275,0.9565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,64,16,0.05,1,0.0,0.4782608695652174,0.05487004961188181,0.08909588803234246,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,64,16,0.05,2,0.0,0.28260869565217395,0.05487004961188181,0.08909588803234246,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,64,16,0.05,3,1.0,1.0,0.05487004961188181,0.08909588803234246,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,64,16,0.05,4,0.6666666666666666,0.9565217391304348,0.05487004961188181,0.08909588803234246,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,64,16,0.05,5,0.6666666666666666,0.9565217391304348,0.05487004961188181,0.08909588803234246,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.8695652173913044,0.05505900751535521,0.10612652491028414,0.4565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,128,16,0.05,2,0.0,0.9130434782608696,0.05505900751535521,0.10612652491028414,0.4565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,128,16,0.05,3,0.0,0.6086956521739131,0.05505900751535521,0.10612652491028414,0.4565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,128,16,0.05,4,0.0,0.8695652173913043,0.05505900751535521,0.10612652491028414,0.4565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,128,16,0.05,5,0.6666666666666666,1.0,0.05505900751535521,0.10612652491028414,0.4565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,512,16,0.05,1,0.0,1.0,0.05309923964751938,0.10925787096847023,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,512,16,0.05,2,0.0,1.0,0.05309923964751938,0.10925787096847023,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,512,16,0.05,3,0.0,0.9565217391304348,0.05309923964751938,0.10925787096847023,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,512,16,0.05,4,0.6666666666666666,1.0,0.05309923964751938,0.10925787096847023,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,512,16,0.05,5,0.0,0.6956521739130435,0.05309923964751938,0.10925787096847023,0.4782608695652174,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,32,32,0.05,1,0.0,0.0,0.055543810361490434,0.09991061039931788,0.4565217391304348,NaN,0.0,0.05,svae,glass
32,8,3,relu,Dense,32,32,0.05,2,0.0,0.13043478260869568,0.055543810361490434,0.09991061039931788,0.4565217391304348,NaN,0.0,0.05,svae,glass
