hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,ar,i,model,dataset
32,3,3,relu,Dense,0.1,wass,5,0.6708673091178651,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9592290585618977,0.01,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9488510007412898,0.01,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9551519644180875,0.01,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9640474425500372,0.01,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.7572275759822091,0.005,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.7575982209043737,0.005,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9321719792438844,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9351371386212008,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9303187546330616,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9388435878428466,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,5,0.933283914010378,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.8836174944403261,0.01,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9532987398072645,0.01,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9518161601186064,0.01,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9573758339510748,0.01,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.7424017790956264,0.005,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.7750185322461082,0.005,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.943661971830986,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9469977761304671,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9603409933283914,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9488510007412899,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,5,0.9536693847294292,0.05,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.8914010378057821,0.01,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9091919940696813,0.01,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9084507042253521,0.01,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9032616753150482,0.01,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.8754633061527057,0.005,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9147516679021497,0.005,8,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9314306893995552,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9395848776871757,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9440326167531504,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9536693847294293,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,5,0.9610822831727205,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9570051890289103,0.01,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9722016308376575,0.01,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9718309859154929,0.01,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9818383988139363,0.01,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9306893995552261,0.005,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9184581171237954,0.005,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9744255003706449,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9770200148257968,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9755374351371386,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9770200148257968,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,5,0.9825796886582654,0.05,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.8851000741289844,0.01,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.8832468495181617,0.01,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9010378057820607,0.01,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9032616753150482,0.01,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9362490733876945,0.005,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9395848776871757,0.005,9,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.8269088213491476,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.8847294292068199,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.8750926612305412,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9214232765011119,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,5,0.949592290585619,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9455151964418088,0.01,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9684951816160118,0.01,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9644180874722016,0.01,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9710896960711638,0.01,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.5859896219421794,0.005,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.6419570051890289,0.005,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9484803558191253,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9584877687175686,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9614529280948851,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9570051890289103,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,5,0.9610822831727205,0.05,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9610822831727205,0.01,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9744255003706449,0.01,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9529280948851001,0.01,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9725722757598221,0.01,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9143810229799851,0.005,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9403261675315048,0.005,10,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.8338044092707744,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,2,0.875824382890522,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,3,0.9173732805728283,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,4,0.923968343697004,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,5,0.9166195590729226,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,1,0.8446391558319201,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,2,0.8740342943282458,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,3,0.8691351045788582,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,4,0.8752590917655926,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,5,0.8845863953269267,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,1,0.846711889956661,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,2,0.8572639909553421,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,3,0.8660260033917466,0.005,1,svae,cardiotocography
