hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,model,dataset
16,16,4,leakyrelu,Dense,1024,64,5,0.2485207100591716,0.5936447811447794,ffMem,abalone
32,16,4,leakyrelu,Dense,1024,64,1,0.0,0.7551557239057268,ffMem,abalone
32,16,4,leakyrelu,Dense,1024,64,2,0.32608695652173914,0.7993476430976463,ffMem,abalone
32,16,4,leakyrelu,Dense,1024,64,3,0.34146341463414637,0.8216540404040436,ffMem,abalone
32,16,4,leakyrelu,Dense,1024,64,4,0.3384615384615385,0.7559974747474779,ffMem,abalone
32,16,4,leakyrelu,Dense,1024,64,5,0.3076923076923077,0.7665193602693634,ffMem,abalone
8,4,5,leakyrelu,Dense,1024,64,1,0.0,0.6933922558922584,ffMem,abalone
8,4,5,leakyrelu,Dense,1024,64,2,0.23943661971830985,0.766624579124582,ffMem,abalone
8,4,5,leakyrelu,Dense,1024,64,3,0.25142857142857145,0.8284932659932691,ffMem,abalone
8,4,5,leakyrelu,Dense,1024,64,4,0.24043715846994534,0.7356902356902385,ffMem,abalone
8,4,5,leakyrelu,Dense,1024,64,5,0.23404255319148937,0.6557239057239086,ffMem,abalone
16,4,5,leakyrelu,Dense,1024,64,1,0.06896551724137931,0.6777146464646449,ffMem,abalone
16,4,5,leakyrelu,Dense,1024,64,2,0.3218390804597701,0.6590909090909074,ffMem,abalone
16,4,5,leakyrelu,Dense,1024,64,3,0.3125,0.6683501683501667,ffMem,abalone
16,4,5,leakyrelu,Dense,1024,64,4,0.272108843537415,0.6700336700336683,ffMem,abalone
16,4,5,leakyrelu,Dense,1024,64,5,0.25149700598802394,0.720538720538719,ffMem,abalone
32,4,5,leakyrelu,Dense,1024,64,1,0.3119266055045872,0.7054924242424226,ffMem,abalone
32,4,5,leakyrelu,Dense,1024,64,2,0.31654676258992803,0.6161616161616144,ffMem,abalone
32,4,5,leakyrelu,Dense,1024,64,3,0.23404255319148937,0.6421506734006759,ffMem,abalone
32,4,5,leakyrelu,Dense,1024,64,4,0.1568627450980392,0.7582070707070735,ffMem,abalone
32,4,5,leakyrelu,Dense,1024,64,5,0.21052631578947367,0.7813552188552219,ffMem,abalone
8,16,5,leakyrelu,Dense,1024,64,1,0.06896551724137931,0.652462121212124,ffMem,abalone
8,16,5,leakyrelu,Dense,1024,64,2,0.21052631578947367,0.74568602693603,ffMem,abalone
8,16,5,leakyrelu,Dense,1024,64,3,0.22564102564102564,0.6771885521885548,ffMem,abalone
8,16,5,leakyrelu,Dense,1024,64,4,0.21782178217821782,0.7676767676767706,ffMem,abalone
8,16,5,leakyrelu,Dense,1024,64,5,0.2,0.8340698653198684,ffMem,abalone
16,16,5,leakyrelu,Dense,1024,64,1,0.0,0.6898148148148131,ffMem,abalone
16,16,5,leakyrelu,Dense,1024,64,2,0.44,0.7617845117845106,ffMem,abalone
16,16,5,leakyrelu,Dense,1024,64,3,0.42718446601941745,0.5838594276094266,ffMem,abalone
16,16,5,leakyrelu,Dense,1024,64,4,0.4036697247706422,0.694654882154885,ffMem,abalone
16,16,5,leakyrelu,Dense,1024,64,5,0.36065573770491804,0.8413299663299694,ffMem,abalone
32,16,5,leakyrelu,Dense,1024,64,1,0.2777777777777778,0.7870370370370401,ffMem,abalone
32,16,5,leakyrelu,Dense,1024,64,2,0.37777777777777777,0.7981902356902386,ffMem,abalone
32,16,5,leakyrelu,Dense,1024,64,3,0.44,0.8593223905723938,ffMem,abalone
32,16,5,leakyrelu,Dense,1024,64,4,0.3826086956521739,0.8634259259259288,ffMem,abalone
32,16,5,leakyrelu,Dense,1024,64,5,0.29333333333333333,0.8642676767676798,ffMem,abalone
8,4,3,leakyrelu,ResDense,1024,64,1,0.0,0.7367424242424229,ffMem,abalone
