hidden,latent,layers,nonlinearity,layertype,β,anomaliesSeen,auc,aucpxv,ar,i,α,model,dataset
32,8,3,relu,Dense,10.0,3,0.0324825986078886,0.9814385150812065,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,4,0.03480278422273786,0.9814385150812065,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,5,0.044083526682134555,0.9814385150812065,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,1,0.36194895591647336,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,2,0.3735498839907193,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,3,0.3735498839907193,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,4,0.3781902552204176,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,5,0.4292343387470998,0.9860788863109049,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,1,0.11832946635730857,0.9814385150812065,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,2,0.17633410672853833,0.9814385150812065,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,3,0.22969837587006958,0.9814385150812065,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,4,0.25058004640371234,0.9814385150812065,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,5,0.25058004640371234,0.9814385150812065,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,0.01,1,0.5498839907192575,0.9953596287703016,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,2,0.5336426914153132,0.9953596287703016,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,3,0.5243619489559165,0.9953596287703016,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,4,0.5220417633410672,0.9953596287703016,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,5,0.5197215777262181,0.9953596287703016,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,1,0.765661252900232,0.9953596287703016,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,2,0.7610208816705336,0.9953596287703016,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,3,0.7563805104408352,0.9953596287703016,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,4,0.7563805104408352,0.9953596287703016,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,5,0.7517401392111369,0.9953596287703016,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,1,0.7703016241299304,0.9953596287703016,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,2,0.7726218097447796,0.9953596287703016,0.05,2,0.75,svae,abalone
