dataset,anom_sel,anom_ratio,anom_seen,pxvita,f2,f3,knnauc
parkinsons,rnd,0.05,6,0.803448275862069,0.939080459770115,0.945977011494253,0.8372747747747749
parkinsons,rnd,0.05,7,0.803448275862069,0.9471264367816092,0.9551724137931036,0.8372747747747749
parkinsons,best,0.05,1,0.803448275862069,0.9074712643678161,0.8764367816091955,0.8372747747747749
parkinsons,best,0.05,2,0.803448275862069,0.939655172413793,0.9160919540229886,0.8372747747747749
parkinsons,best,0.05,3,0.803448275862069,0.9448275862068967,0.9339080459770116,0.8372747747747749
parkinsons,best,0.05,4,0.803448275862069,0.9454022988505748,0.9385057471264368,0.8372747747747749
parkinsons,best,0.05,5,0.803448275862069,0.9402298850574713,0.9442528735632184,0.8372747747747749
parkinsons,best,0.05,6,0.803448275862069,0.9419540229885058,0.9551724137931034,0.8372747747747749
parkinsons,best,0.05,7,0.803448275862069,0.945977011494253,0.9626436781609196,0.8372747747747749
pendigits,rnd,0.05,1,0.9180297927859312,0.6522176379577102,0.6457583789008468,0.9496561931653713
pendigits,rnd,0.05,2,0.9180297927859312,0.7081897714736551,0.7020983541048331,0.9496561931653713
pendigits,rnd,0.05,3,0.9180297927859312,0.7503533261153937,0.754078278214004,0.9496561931653713
pendigits,rnd,0.05,4,0.9180297927859312,0.7756451745113375,0.7728640761777252,0.9496561931653713
pendigits,rnd,0.05,5,0.9180297927859312,0.7873195372776982,0.796299724374891,0.9496561931653713
pendigits,rnd,0.05,6,0.9180297927859312,0.8123253435067573,0.8365108491097685,0.9496561931653713
pendigits,rnd,0.05,7,0.9180297927859312,0.8282268971853451,0.8394225022114901,0.9496561931653713
pendigits,rnd,0.05,8,0.9180297927859312,0.8426446177964337,0.8427255634603759,0.9496561931653713
pendigits,rnd,0.05,9,0.9180297927859312,0.8473310985043836,0.8568265030448549,0.9496561931653713
pendigits,rnd,0.05,10,0.9180297927859312,0.856613465669817,0.8656927002039012,0.9496561931653713
pendigits,best,0.05,1,0.9180297927859312,0.6758959523752599,0.6761473279392327,0.9496561931653713
pendigits,best,0.05,2,0.9180297927859312,0.6947447650014175,0.6802072482231232,0.9496561931653713
pendigits,best,0.05,3,0.9180297927859312,0.6955993053017702,0.6795147700220978,0.9496561931653713
pendigits,best,0.05,4,0.9180297927859312,0.7063432198614019,0.6901657849167832,0.9496561931653713
pendigits,best,0.05,5,0.9180297927859312,0.6972801232286733,0.6787356253137926,0.9496561931653713
pendigits,best,0.05,6,0.9180297927859312,0.6982793923268976,0.6799016527260245,0.9496561931653713
pendigits,best,0.05,7,0.9180297927859312,0.694410479901909,0.688497433305213,0.9496561931653713
pendigits,best,0.05,8,0.9180297927859312,0.6925086837278723,0.6953878048697184,0.9496561931653713
pendigits,best,0.05,9,0.9180297927859312,0.6910371462042633,0.693878526857225,0.9496561931653713
pendigits,best,0.05,10,0.9180297927859312,0.6934090761606482,0.6994373934813125,0.9496561931653713
pima-indians,rnd,0.05,1,0.86385,0.8238000000000001,0.8058,0.9029333333333334
pima-indians,rnd,0.05,2,0.86385,0.84845,0.8008,0.9029333333333334
pima-indians,rnd,0.05,3,0.86385,0.8871499999999999,0.82735,0.9029333333333334
pima-indians,rnd,0.05,4,0.86385,0.8813000000000001,0.8381000000000001,0.9029333333333334
pima-indians,rnd,0.05,5,0.86385,0.9014000000000001,0.8692,0.9029333333333334
pima-indians,rnd,0.05,6,0.86385,0.9046000000000001,0.8850999999999999,0.9029333333333334
pima-indians,rnd,0.05,7,0.86385,0.9057999999999998,0.89125,0.9029333333333334
pima-indians,rnd,0.05,8,0.86385,0.9073999999999998,0.8895500000000002,0.9029333333333334
pima-indians,rnd,0.05,9,0.86385,0.9115500000000001,0.8939999999999999,0.9029333333333334
pima-indians,rnd,0.05,10,0.86385,0.9156999999999998,0.8978999999999999,0.9029333333333334
pima-indians,best,0.05,1,0.86385,0.8057000000000001,0.7778,0.9029333333333334
pima-indians,best,0.05,2,0.86385,0.8375499999999999,0.7879999999999999,0.9029333333333334
pima-indians,best,0.05,3,0.86385,0.84335,0.8045499999999999,0.9029333333333334
pima-indians,best,0.05,4,0.86385,0.8464500000000001,0.8138,0.9029333333333334
