dataset,prname,k,auc,anom_ratio
cardiotocography,px_δ,15,0.687869966035905,0.005
cardiotocography,px_γ,15,0.47497573993207187,0.005
cardiotocography,px_κ,21,0.45604682193110146,0.005
cardiotocography,px_δ,21,0.6958818534691897,0.005
cardiotocography,px_γ,21,0.46830422125181953,0.005
cardiotocography,px_κ,29,0.4578299369238234,0.005
cardiotocography,px_δ,29,0.7019286754002914,0.005
cardiotocography,px_γ,29,0.4640162542455119,0.005
cardiotocography,px_κ,39,0.46012251334303744,0.005
cardiotocography,px_δ,39,0.7075509461426492,0.005
cardiotocography,px_γ,39,0.46268195050946154,0.005
ecoli,px_κ,1,0.8101960784313725,0.05
ecoli,px_δ,1,0.3337254901960784,0.05
ecoli,px_γ,1,0.8101960784313725,0.05
ecoli,px_κ,3,0.8657843137254903,0.05
ecoli,px_δ,3,0.2914705882352941,0.05
ecoli,px_γ,3,0.8554901960784314,0.05
ecoli,px_κ,5,0.8864705882352941,0.05
ecoli,px_δ,5,0.26607843137254905,0.05
ecoli,px_γ,5,0.8730392156862745,0.05
ecoli,px_κ,9,0.895294117647059,0.05
ecoli,px_δ,9,0.27264705882352935,0.05
ecoli,px_γ,9,0.8854901960784314,0.05
ecoli,px_κ,15,0.882450980392157,0.05
ecoli,px_δ,15,0.30803921568627457,0.05
ecoli,px_γ,15,0.8912745098039216,0.05
ecoli,px_κ,21,0.8672549019607845,0.05
ecoli,px_δ,21,0.3513725490196079,0.05
ecoli,px_γ,21,0.8861764705882355,0.05
ecoli,px_κ,29,0.8145833333333332,0.05
ecoli,px_δ,29,0.36360294117647063,0.05
ecoli,px_γ,29,0.872058823529412,0.05
ecoli,px_κ,39,0.7927696078431372,0.05
ecoli,px_δ,39,0.36874999999999997,0.05
ecoli,px_γ,39,0.8555147058823531,0.05
ecoli,px_κ,1,0.8709803921568628,0.01
ecoli,px_δ,1,0.3229411764705883,0.01
ecoli,px_γ,1,0.8709803921568628,0.01
ecoli,px_κ,3,0.912843137254902,0.01
ecoli,px_δ,3,0.291078431372549,0.01
ecoli,px_γ,3,0.9047058823529414,0.01
ecoli,px_κ,5,0.9212745098039216,0.01
ecoli,px_δ,5,0.28715686274509805,0.01
ecoli,px_γ,5,0.9143137254901962,0.01
ecoli,px_κ,9,0.9172549019607843,0.01
ecoli,px_δ,9,0.30666666666666664,0.01
ecoli,px_γ,9,0.9192156862745098,0.01
ecoli,px_κ,15,0.8850000000000001,0.01
ecoli,px_δ,15,0.35352941176470587,0.01
ecoli,px_γ,15,0.9116666666666667,0.01
ecoli,px_κ,21,0.8570588235294119,0.01
ecoli,px_δ,21,0.3914705882352941,0.01
ecoli,px_γ,21,0.8997058823529412,0.01
ecoli,px_κ,29,0.7998039215686275,0.01
ecoli,px_δ,29,0.4124509803921569,0.01
ecoli,px_γ,29,0.8792156862745099,0.01
ecoli,px_κ,39,0.7805882352941177,0.01
ecoli,px_δ,39,0.4000980392156864,0.01
ecoli,px_γ,39,0.858235294117647,0.01
ecoli,px_κ,1,0.8631372549019607,0.005
ecoli,px_δ,1,0.2788235294117647,0.005
ecoli,px_γ,1,0.8631372549019607,0.005
ecoli,px_κ,3,0.8984313725490196,0.005
ecoli,px_δ,3,0.24960784313725495,0.005
ecoli,px_γ,3,0.8915686274509802,0.005
ecoli,px_κ,5,0.8962745098039215,0.005
ecoli,px_δ,5,0.24627450980392154,0.005
ecoli,px_γ,5,0.8958823529411765,0.005
ecoli,px_κ,9,0.8920588235294119,0.005
ecoli,px_δ,9,0.2686274509803922,0.005
ecoli,px_γ,9,0.895686274509804,0.005
ecoli,px_κ,15,0.8760784313725491,0.005
ecoli,px_δ,15,0.3171568627450981,0.005
ecoli,px_γ,15,0.8929411764705882,0.005
ecoli,px_κ,21,0.8677450980392158,0.005
ecoli,px_δ,21,0.3540196078431373,0.005
ecoli,px_γ,21,0.8872549019607844,0.005
ecoli,px_κ,29,0.843235294117647,0.005
ecoli,px_δ,29,0.36901960784313725,0.005
ecoli,px_γ,29,0.8818627450980394,0.005
ecoli,px_κ,39,0.8216666666666665,0.005
ecoli,px_δ,39,0.37,0.005
ecoli,px_γ,39,0.8718627450980392,0.005
glass,px_κ,1,0.6369495166487648,0.05
glass,px_δ,1,0.484156820622986,0.05
glass,px_γ,1,0.6369495166487648,0.05
glass,px_κ,3,0.6358754027926959,0.05
glass,px_δ,3,0.4403866809881847,0.05
glass,px_γ,3,0.64312567132116,0.05
glass,px_κ,5,0.5899570354457573,0.05
glass,px_δ,5,0.41917293233082703,0.05
glass,px_γ,5,0.6331901181525241,0.05
glass,px_κ,9,0.49006444683136413,0.05
glass,px_δ,9,0.43018259935553166,0.05
glass,px_γ,9,0.5647153598281418,0.05
