hidden,latent,layers,nonlinearity,layertype,β,aucpxv,aucpz,ar,i,model,dataset
32,8,3,relu,Dense,1.0,1.0,0.5584415584,0.005,9,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.0,0.9090909091,0.05,9,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.48051948050000004,0.9090909091,0.01,9,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.961038961,0.4675324675,0.005,9,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.7402597403,0.23376623379999995,0.05,10,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.9090909091,0.4935064935,0.01,10,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.9480519481,0.7662337662,0.005,10,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.7792207792,0.29870129869999995,0.05,10,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.41558441560000003,0.09090909089999999,0.01,10,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.9350649351,0.7792207792,0.005,10,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.45454545449999995,0.8961038961000001,0.05,10,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.48051948050000004,0.9740259739999999,0.01,10,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.3766233766,0.5974025974,0.005,10,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.5194805195000001,0.8311688312000001,0.05,10,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.7142857143,0.4675324675,0.01,10,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.9480519481,0.9740259739999999,0.005,10,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.8309859155107117,0.5678280207686435,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.01,0.9110452186932914,0.1675315048086731,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.01,0.9495922906031135,0.15196441808951075,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.8498888065300964,0.7279466271245,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.9262416604820979,0.21126760563721272,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.9581171238047813,0.597479614522943,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.8328391400978131,0.3750926612388806,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.904744255012639,0.6204595997047813,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.938843587839066,0.7553743513795774,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.8439584877606375,0.69199406966427,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.916234247591994,0.8917716827342476,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.9288361749478502,0.952557449970089,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.01,0.8817642698371015,0.9299481097147516,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.01,0.9099332838967014,0.8254262416545962,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.01,0.9399555225948851,0.6352853965732025,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.8269088213601928,0.6686434395957747,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.8980726464075611,0.7468495181714233,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.9440326167531875,0.7457375834000001,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.8676797627719792,0.9810971089704595,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.8684210526483692,0.31282431430014823,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.9151223128299851,0.9073387694520756,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.8235730170332839,0.9455151964716828,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.9214232765085618,0.9603409933229058,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.9221645663617494,0.9636767976443662,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.01,0.9154929577540399,0.8068939955605634,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.01,0.9484803558400666,0.34766493697186807,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.01,0.9495922906101556,0.8039288361751669,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.9184581171280578,0.8687916975578577,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.9336545589429949,0.9384729429265752,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,0.1,0.9255003706633061,0.8787991104657152,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.926982950352854,0.897702001494218,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.9318013343341734,0.4851742031152334,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1.0,0.9444032616847665,0.9803558191292068,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.8932542624229428,0.9484803558537805,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.9406968124508895,0.9199406968426983,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,10.0,0.9347664937169384,0.9462564862973314,0.005,3,svae,breast-cancer-wisconsin
