hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,Column1,mean auc,std auc,mean knnauc,std auc2
32,8,3,relu,Dense,32,16,0.1,5,0.481481481,0.923026192,0.246873964,0.312497644,0.667467496,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.178571429,0.818729979,0.197890763,0.236950284,0.663651781,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.40625,0.890710383,0.208741725,0.212127095,0.628273978,0.666666667,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.4,0.809355568,0.213435895,0.256626615,0.645374034,0,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.387096774,0.908893914,0.254078645,0.322429934,0.667938572,0.75,0.103448276,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.171428571,0.912144338,0.241478033,0.30238806,0.915112116,0.722222222,0.448275862,0.05,1,svae,cardiotocography,Worse,0.748662144,0.178197053,0.860509704,0.045202111
32,8,3,relu,Dense,32,16,0.1,1,0.166666667,0.92071792,0.237849894,0.351345379,0.899660825,0.769230769,0.344827586,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0,0.487045412,0.232082513,0.390129658,0.903712078,0.647058824,0.379310345,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.055555556,0.38449218,0.243058981,0.294849515,0.804597701,0.7,0.24137931,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,1,0,0.730214811,0.234458194,0.242593227,0.811004334,0.75,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.102564103,0.83163746,0.24453087,0.324514153,0.825325042,0.636363636,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.260869565,0.873798756,0.219274993,0.252571144,0.884963256,1,0.137931034,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.111111111,0.745618994,0.222636914,0.22579861,0.860844168,0.7,0.24137931,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.153846154,0.808601847,0.257708843,0.32063455,0.896693047,0.5625,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.166666667,0.792349727,0.262103709,0.340446978,0.803184473,0.611111111,0.379310345,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.409090909,0.924345204,0.241478033,0.30238806,0.915112116,0.722222222,0.448275862,0.05,1,svae,cardiotocography,Better,0.831067458,0.06771306,0.860509704,0.045202111
32,8,3,relu,Dense,32,16,0.1,2,0.157894737,0.916242698,0.237849894,0.351345379,0.899660825,0.769230769,0.344827586,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.192307692,0.760693424,0.232082513,0.390129658,0.903712078,0.647058824,0.379310345,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.08,0.838515169,0.243058981,0.294849515,0.804597701,0.7,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.051282051,0.701714716,0.234458194,0.242593227,0.811004334,0.75,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.166666667,0.857358206,0.24453087,0.324514153,0.825325042,0.636363636,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.222222222,0.871537592,0.219274993,0.252571144,0.884963256,1,0.137931034,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.166666667,0.822027511,0.222636914,0.22579861,0.860844168,0.7,0.24137931,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.16,0.799227435,0.257708843,0.32063455,0.896693047,0.5625,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,2,0.148148148,0.819012625,0.262103709,0.340446978,0.803184473,0.611111111,0.379310345,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.25,0.818824194,0.241478033,0.30238806,0.915112116,0.722222222,0.448275862,0.05,1,svae,cardiotocography,Worse,0.855483324,0.044311335,0.860509704,0.045202111
32,8,3,relu,Dense,32,16,0.1,3,0.25,0.915488977,0.237849894,0.351345379,0.899660825,0.769230769,0.344827586,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.309859155,0.89447899,0.232082513,0.390129658,0.903712078,0.647058824,0.379310345,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.12,0.882984737,0.243058981,0.294849515,0.804597701,0.7,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.133333333,0.81010929,0.234458194,0.242593227,0.811004334,0.75,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
